"","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"5503","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13389785
"5504","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13473840
"5505","Laetia procera","whole plant height","0","m",NA,10.4115,-84.0314,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13661627
"5506","Hasseltia floribunda","whole plant height","18","m",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",14253754
"5507","Laetia procera","diameter at breast height (1.3 m)","5005","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",26202185
"5508","Trema micrantha","seed mass","3.9","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","public",434071
"5509","Croton schiedeanus","diameter at breast height (1.3 m)","24.1","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",25478717
"5510","Hasseltia floribunda","diameter at breast height (1.3 m)","17.4","cm",NA,10.3162495055664,-84.0473711814107,NA,NA,"VG-VB-9",NA,"public",10461128
"5511","Gordonia fruticosa","whole plant growth form","Tree",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",14694063
"5512","Croton schiedeanus","diameter at breast height (1.3 m)","13.9","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",10340933
"5513","Avicennia germinans","flower color","White",NA,NA,NA,NA,NA,NA,NA,NA,"public",2037921
"5514","Trema micrantha","diameter at breast height (1.3 m)","3.556","cm",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",1828362
"5515","Trema micrantha","diameter at breast height (1.3 m)","15","cm",NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",3621246
"5516","Pausandra trianae","diameter at breast height (1.3 m)","3.3","cm",NA,-12.0411,-69.1056,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7565340
"5517","Trema micrantha","whole plant height","5.7912","m",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",4834702
"5518","Avicennia germinans","whole plant height","2.7432","m",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",5646567
"5519","Hasseltia floribunda","diameter at breast height (1.3 m)","3","cm",NA,-12.4829,-69.224,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",8469962
"5520","Pausandra trianae","diameter at breast height (1.3 m)","234","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12995092
"5521","Trema micrantha","whole plant height","4.8768","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",9546005
"5522","Guarea kunthiana","diameter at breast height (1.3 m)","10","cm",NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",10222066
"5523","Laetia procera","diameter at breast height (1.3 m)","17","cm",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",11038756
"5524","Hasseltia floribunda","diameter at breast height (1.3 m)","10.6000003814697","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",12053280
"5525","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-13.6667,-68.2,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",13274799
"5526","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.51667,-73.0667,NA,NA,"James S. MIller",NA,"public",13321294
"5527","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.2888,-69.2508,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13382240
"5528","Hieronyma alchorneoides","whole plant growth form","tree",NA,NA,-12.5872,-69.5708,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13396719
"5529","Hasseltia floribunda","whole plant growth form","tree",NA,NA,9.58,-84.577,NA,NA,"James S. MIller",NA,"public",13418211
"5530","Laetia procera","whole plant height","0","m",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14508027
"5531","Avicennia germinans","whole plant height","6.096","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",19438500
"5532","Avicennia germinans","diameter at breast height (1.3 m)","4.064","cm",NA,26.003054,-81.719677,NA,NA,"Greg Reams",NA,"public",26223603
"5533","Laetia procera","diameter at breast height (1.3 m)","20","cm",NA,-1.72963,-51.48499,NA,NA,"VG-CAX-1",NA,"public",10437557
"5534","Croton schiedeanus","diameter at breast height (1.3 m)","10.2","cm",NA,10.4026892143355,-84.0374213784905,NA,NA,"VG-VB-9",NA,"public",18395939
"5535","Pausandra trianae","diameter at breast height (1.3 m)","10.5","cm",NA,-11.9371996,-71.2813285,NA,NA,"Patricia Alvarez-Loayza",NA,"public",607074
"5536","Avicennia germinans","whole plant height","6.4008","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",4432329
"5537","Vismia baccifera","diameter at breast height (1.3 m)","16.3","cm",NA,10.4263,-83.9958,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",5648779
"5538","Acalypha diversifolia","diameter at breast height (1.3 m)","6","cm",NA,0.883333,-78.45,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",8133279
"5539","Pausandra trianae","diameter at breast height (1.3 m)","15","cm",NA,-12.386,-68.7941,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",10475832
"5540","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,11.147,-73.477,NA,NA,"James S. MIller",NA,"public",11498277
"5541","Guarea kunthiana","diameter at breast height (1.3 m)","696","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12899810
"5542","Pausandra trianae","diameter at breast height (1.3 m)","3.1","cm",NA,-12.4159,-69.3269,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13035419
"5543","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.2888,-69.2508,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13245248
"5544","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-12.5373,-69.3863,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13407795
"5545","Vismia baccifera","whole plant growth form","tree",NA,NA,10.4329,-83.9864,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13456424
"5546","Croton schiedeanus","whole plant height","0","m",NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13818131
"5547","Guarea kunthiana","diameter at breast height (1.3 m)","5005","cm",NA,9.418479919,-79.53919983,NA,NA,"Richard Condit",NA,"public",18763598
"5548","Trema micrantha","diameter at breast height (1.3 m)","3.302","cm",NA,17.750048,-64.833531,NA,NA,"Greg Reams",NA,"public",22115451
"5549","Laetia procera","diameter at breast height (1.3 m)","25.5","cm",NA,10.4162575998924,-84.0200438265171,NA,NA,"VG-VB-9",NA,"public",24450832
"5550","Perrottetia sessiliflora","plant flowering duration","3,6,8,9,10,11","month",NA,NA,NA,NA,NA,NA,NA,"public",2034551
"5551","Trema micrantha","diameter at breast height (1.3 m)","60.3","cm",NA,9.14681696332991,-79.712634338066,NA,NA,NA,NA,"public",26355231
"5552","Guarea kunthiana","minimum leaf width","15","cm",NA,NA,NA,NA,NA,NA,NA,"public",1736521
"5553","Croton schiedeanus","diameter at breast height (1.3 m)","13.7","cm",NA,10.3449480419567,-84.0581115317113,NA,NA,"VG-VB-9",NA,"public",25235612
"5554","Laetia procera","diameter at breast height (1.3 m)","29","cm",NA,NA,NA,120,"http://datadryad.org/resource/doi:10.5061/dryad.sv181","Plourde BT","btplourde@ucdavis.edu","public",14790564
"5555","Hasseltia floribunda","flower color","White-cream",NA,NA,NA,NA,NA,NA,NA,NA,"public",2030975
"5556","Laetia procera","diameter at breast height (1.3 m)","23.1","cm",NA,10.4165038973473,-84.0200055998042,NA,NA,"VG-VB-9",NA,"public",25513967
"5557","Trema micrantha","diameter at breast height (1.3 m)","3.0226","cm",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",1301420
"5558","Hieronyma alchorneoides","diameter at breast height (1.3 m)","59","cm",NA,-3.48333,-78.2333,NA,NA,"James S. MIller",NA,"public",5758709
"5559","Avicennia germinans","whole plant height","3.048","m",NA,26.80926,-82.161948,NA,NA,"Greg Reams",NA,"public",3483752
"5560","Guarea kunthiana","diameter at breast height (1.3 m)","3.9","cm",NA,-13.6667,-68.2,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",5648520
"5561","Pausandra trianae","diameter at breast height (1.3 m)","3.8","cm",NA,-12.4258,-69.2923,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",6549181
"5562","Avicennia germinans","whole plant height","9.4488","m",NA,26.889832,-82.084046,NA,NA,"Greg Reams",NA,"public",7765069
"5563","Acalypha diversifolia","diameter at breast height (1.3 m)","3","cm",NA,0.883333,-78.45,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",8017952
"5564","Avicennia germinans","whole plant height","3.048","m",NA,17.927807,-66.247674,NA,NA,"Greg Reams",NA,"public",10051875
"5565","Pausandra trianae","diameter at breast height (1.3 m)","7","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"public",10950577
"5566","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",11869445
"5567","Pausandra trianae","diameter at breast height (1.3 m)","7","cm",NA,-12.4808,-69.3853,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12375024
"5568","Hasseltia floribunda","diameter at breast height (1.3 m)","4","cm",NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13021836
"5569","Vismia baccifera","whole plant growth form","tree",NA,NA,10.4329,-83.9864,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13306157
"5570","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13344010
"5571","Guarea kunthiana","whole plant growth form","tree",NA,NA,0.116667,-78.6167,NA,NA,"James S. MIller",NA,"public",13390815
"5572","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.391,-69.3078,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13464387
"5573","Laetia procera","whole plant height","0","m",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13608719
"5574","Laetia procera","whole plant height","0","m",NA,10.4115,-84.0314,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14054229
"5575","Trema micrantha","diameter at breast height (1.3 m)","6.35","cm",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",21916530
"5576","Croton schiedeanus","diameter at breast height (1.3 m)","16.6","cm",NA,10.3167688023045,-84.046973812391,NA,NA,"VG-VB-9",NA,"public",25196490
"5577","Guarea kunthiana","diameter at breast height (1.3 m)","10.6","cm",NA,-2.4313394,-59.794235,NA,NA,"Eduardo Eler",NA,"public",16150206
"5578","Trema micrantha","leaf area","6196.9","mm2",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.r3n45","Price CA","charles.price@uwa.edu.au","public",15763262
"5579","Croton schiedeanus","diameter at breast height (1.3 m)","16.1","cm",NA,10.3163565540749,-84.047563320154,NA,NA,"VG-VB-9",NA,"public",10405569
"5580","Hieronyma alchorneoides","stem wood density","0.6","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",15994760
"5581","Laetia procera","diameter at breast height (1.3 m)","19.9","cm",NA,NA,NA,120,"http://datadryad.org/resource/doi:10.5061/dryad.sv181","Plourde BT","btplourde@ucdavis.edu","public",14790550
"5582","Laetia procera","diameter at breast height (1.3 m)","24","cm",NA,10.4165038973473,-84.0200055998042,NA,NA,"VG-VB-9",NA,"public",23893512
"5583","Laetia procera","diameter at breast height (1.3 m)","39.3","cm",NA,-2.4313394,-59.794235,NA,NA,"Eduardo Eler",NA,"public",2611305
"5584","Pausandra trianae","inflorescence length","15","cm","value is either the mean or maximum",NA,NA,NA,NA,NA,NA,"public",2029551
"5585","Avicennia germinans","diameter at breast height (1.3 m)","26.416","cm",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",388781
"5586","Pausandra trianae","diameter at breast height (1.3 m)","6.4","cm",NA,-12.2829,-69.2804,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",4523112
"5587","Pausandra trianae","diameter at breast height (1.3 m)","11","cm",NA,3.978,-77.079,NA,NA,"James S. MIller",NA,"public",4973274
"5588","Guarea kunthiana","diameter at breast height (1.3 m)","150","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",5306458
"5589","Avicennia germinans","whole plant height","3.6576","m",NA,27.148509,-80.153097,NA,NA,"Greg Reams",NA,"public",6131338
"5590","Avicennia germinans","whole plant height","10.9728","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",6877878
"5591","Pausandra trianae","diameter at breast height (1.3 m)","12","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",7792943
"5592","Pausandra trianae","diameter at breast height (1.3 m)","15","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",7792946
"5593","Croton schiedeanus","diameter at breast height (1.3 m)","5","cm",NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",12374482
"5594","Guarea kunthiana","diameter at breast height (1.3 m)","3","cm",NA,-13.47,-69.787,NA,NA,"James S. MIller",NA,"public",12469825
"5595","Guarea kunthiana","diameter at breast height (1.3 m)","696","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12899811
"5596","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",13244871
"5597","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.2829,-69.2804,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13400382
"5598","Gordonia fruticosa","whole plant growth form","tree",NA,NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",13401799
"5599","Pausandra trianae","whole plant growth form","tree",NA,NA,-13.5833,-68.7667,NA,NA,"James S. MIller",NA,"public",13416721
"5600","Vismia baccifera","leaf nitrogen content per leaf dry mass","28.1","mg.g-1","Average leaf nitrogen content measured from shade-grown whole leaves or leaflets, reported on a mass basis",-0.6833333,-76.03333,NA,"doi:10.1890/09-1672.1","Nathan Kraft","nkraft@biodiversity.ubc.ca","public",15839604
"5601","Trema micrantha","diameter at breast height (1.3 m)","3.302","cm",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",22837362
"5602","Vismia baccifera","diameter at breast height (1.3 m)","33.6","cm",NA,10.2403425582,-84.0850028149,NA,NA,"VG-VB-9",NA,"public",10309489
"5603","Hieronyma alchorneoides","leaf nitrogen content per leaf dry mass","21.6","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","public",15396999
"5604","Vismia baccifera","inflorescence length","10","cm","value is either the mean or maximum",NA,NA,NA,NA,NA,NA,"public",2029342
"5605","Croton schiedeanus","diameter at breast height (1.3 m)","13.1","cm",NA,10.345525626501,-84.0577175765825,NA,NA,"VG-VB-9",NA,"public",25053790
"5606","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",2276809
"5607","Pausandra trianae","diameter at breast height (1.3 m)","5.5","cm",NA,-12.2829,-69.2804,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",3621050
"5608","Guarea kunthiana","diameter at breast height (1.3 m)","2.5","cm",NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",4632955
"5609","Hasseltia floribunda","diameter at breast height (1.3 m)","15.8000001907349","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",6661913
"5610","Avicennia germinans","whole plant height","4.572","m",NA,27.148509,-80.153097,NA,NA,"Greg Reams",NA,"public",7765272
"5611","Guarea kunthiana","whole plant growth form","tree",NA,NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",13304908
"5612","Hasseltia floribunda","diameter at breast height (1.3 m)","18.6","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",8246474
"5613","Hasseltia floribunda","diameter at breast height (1.3 m)","10.5","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",9150490
"5614","Hasseltia floribunda","diameter at breast height (1.3 m)","3.2","cm",NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13103968
"5615","Acalypha diversifolia","diameter at breast height (1.3 m)","3","cm",NA,-13.5833,-68.7667,NA,NA,"James S. MIller",NA,"public",13212104
"5616","Acalypha diversifolia","whole plant growth form","tree",NA,NA,-12.4814,-68.7611,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13250647
"5617","Pausandra trianae","whole plant growth form","tree",NA,NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",13325026
"5618","Acalypha diversifolia","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13337372
"5619","Guarea kunthiana","whole plant growth form","tree",NA,NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",13366892
"5620","Guarea kunthiana","whole plant growth form","tree",NA,NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",13366896
"5621","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"public",13372378
"5622","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13399191
"5623","Trema micrantha","whole plant growth form","tree",NA,NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",13404435
"5624","Pausandra trianae","whole plant growth form","tree",NA,NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",13409337
"5625","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.51667,-73.0667,NA,NA,"James S. MIller",NA,"public",13448053
"5626","Croton schiedeanus","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13661658
"5627","Hasseltia floribunda","whole plant height","13","m",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",14141670
"5628","Hasseltia floribunda","whole plant height","17","m",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",14446530
"5629","Trema micrantha","diameter at breast height (1.3 m)","9.652","cm",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",16599603
"5630","Pausandra trianae","diameter at breast height (1.3 m)","25.2","cm",NA,10.3161309016393,-84.0467293048772,NA,NA,"VG-VB-9",NA,"public",10229193
"5631","Perrottetia sessiliflora","maximum leaf length","6","cm",NA,NA,NA,NA,NA,NA,NA,"public",1728766
"5632","Vismia baccifera","diameter at breast height (1.3 m)","12","cm",NA,-10.40999508,-75.32989584,NA,NA,"VG-YAN-3",NA,"public",16686485
"5633","Hasseltia floribunda","whole plant growth form","Tree",NA,NA,NA,NA,NA,NA,NA,NA,"public",2061519
"5634","Laetia procera","diameter at breast height (1.3 m)","40.2","cm",NA,-2.4313394,-59.794235,NA,NA,"Eduardo Eler",NA,"public",1744414
"5635","Avicennia germinans","diameter at breast height (1.3 m)","4.318","cm",NA,25.909145,-81.654564,NA,NA,"Greg Reams",NA,"public",389050
"5636","Croton schiedeanus","diameter at breast height (1.3 m)","16","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",5751558
"5637","Trema micrantha","whole plant height","3.3528","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",7733157
"5638","Trema micrantha","diameter at breast height (1.3 m)","10.5","cm",NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",11778847
"5639","Pausandra trianae","diameter at breast height (1.3 m)","4.5","cm",NA,-12.0321,-69.1042,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",8246118
"5640","Guarea kunthiana","diameter at breast height (1.3 m)","131","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",8586157
"5641","Pausandra trianae","diameter at breast height (1.3 m)","4.8","cm",NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",9262262
"5642","Laetia procera","diameter at breast height (1.3 m)","157","cm",NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",11405975
"5643","Avicennia germinans","diameter at breast height (1.3 m)","16.256","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",11562453
"5644","Croton schiedeanus","diameter at breast height (1.3 m)","0","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",11869449
"5645","Hasseltia floribunda","diameter at breast height (1.3 m)","2.5","cm",NA,-3.46667,-72.8333,NA,NA,"James S. MIller",NA,"public",12266899
"5646","Pausandra trianae","diameter at breast height (1.3 m)","5.6","cm",NA,-12.2979,-69.2746,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13035592
"5647","Laetia procera","diameter at breast height (1.3 m)","3.3","cm",NA,10.4209,-84.0259,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13145073
"5648","Acalypha diversifolia","whole plant growth form","tree",NA,NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",13250321
"5649","Vismia baccifera","whole plant growth form","tree",NA,NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13256726
"5650","Pausandra trianae","whole plant growth form","tree",NA,NA,3.978,-77.079,NA,NA,"James S. MIller",NA,"public",13270026
"5651","Laetia procera","whole plant growth form","tree",NA,NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13275133
"5652","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4258,-69.2923,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13275890
"5653","Croton schiedeanus","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13297420
"5654","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13312510
"5655","Guarea kunthiana","whole plant growth form","tree",NA,NA,-4.3,-78.6667,NA,NA,"James S. MIller",NA,"public",13359697
"5656","Trema micrantha","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13466897
"5657","Laetia procera","whole plant height","0","m",NA,10.399,-84.0995,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14054253
"5658","Vismia baccifera","whole plant height","0","m",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14194105
"5659","Laetia procera","whole plant height","0","m",NA,10.4143,-84.0025,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14569001
"5660","Croton schiedeanus","diameter at breast height (1.3 m)","12.5","cm",NA,10.3164784773983,-84.0474419489044,NA,NA,"VG-VB-9",NA,"public",25473334
"5661","Hieronyma alchorneoides","maximum leaf length","12","cm",NA,NA,NA,NA,NA,NA,NA,"public",1729004
"5662","Croton schiedeanus","diameter at breast height (1.3 m)","12.6","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",24618047
"5663","Croton schiedeanus","leaf phosphorus content per leaf dry mass","1.5","mg.g-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.r3n45","Price CA","charles.price@uwa.edu.au","public",15818391
"5664","Guarea kunthiana","stem wood density","0.58","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",15287846
"5665","Perrottetia sessiliflora","whole plant growth form","Tree",NA,NA,NA,NA,NA,NA,NA,NA,"public",2061438
"5666","Trema micrantha","diameter at breast height (1.3 m)","5000.5","cm",NA,9.14673996,-79.71250153,NA,NA,"Richard Condit",NA,"public",1439702
"5667","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",3841329
"5668","Hasseltia floribunda","diameter at breast height (1.3 m)","17.3","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",10565346
"5669","Croton schiedeanus","diameter at breast height (1.3 m)","5005","cm",NA,9.28826046,-79.41560364,NA,NA,"Richard Condit",NA,"public",4431947
"5670","Hasseltia floribunda","diameter at breast height (1.3 m)","14.5","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",4973922
"5671","Avicennia germinans","whole plant height","13.1064","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",5708013
"5672","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",8245722
"5673","Trema micrantha","whole plant height","3.6576","m",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",9187572
"5674","Trema micrantha","whole plant height","3.048","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",10139894
"5675","Pausandra trianae","diameter at breast height (1.3 m)","8.6","cm",NA,-12.4258,-69.2923,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",10565003
"5676","Croton schiedeanus","diameter at breast height (1.3 m)","0","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",10797114
"5677","Guarea kunthiana","diameter at breast height (1.3 m)","5","cm",NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",12052623
"5678","Pausandra trianae","diameter at breast height (1.3 m)","11","cm",NA,-13.5833,-68.7667,NA,NA,"James S. MIller",NA,"public",12469952
"5679","Guarea kunthiana","diameter at breast height (1.3 m)","2.5","cm",NA,-13.47,-69.787,NA,NA,"James S. MIller",NA,"public",13144155
"5680","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.6015,-68.747,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13303449
